Token,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612
人妻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,10,3,0,0,6,2,0,7,4,15,4,17,1,6,2,1,6,2,1,0,5,0,29,34,20,27,86,12,68,25,44,9,34,12,75,57,66,118,104,80,72,57,102,71,97,61,103,94,120,79,56,86,86,194,102,174,133,116,118,59,97,86,126,94,85,123,167,73,126,110
人氣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,2,1,3,1,1,1,10,17,7,8,15,3,14,10,10,8,8,10,27,23,11,15,13,13,34,5,14,15,10,6,87,77,72,107,63,57,153,60,54,52,68,75,351,499,336,432,453,315,484,403,443,353,385,310,547,604,475,485,567,415,484,569,539,553,505,492,393,357,459,370,537,425,394,391,614,529,622,583
優質,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,1,2,0,0,2,0,0,6,5,0,0,0,16,14,8,15,13,11,6,18,12,12,13,10,12,23,10,21,15,9,36,17,13,14,12,14,63,88,78,87,79,49,121,86,69,62,67,103,214,329,224,215,278,231,223,215,312,173,259,247,321,321,263,311,362,185,244,349,337,211,410,280,217,190,267,183,273,214,213,211,312,206,374,315
君子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,2,3,0,1,0,1,1,0,0,2,11,11,15,26,17,10,22,18,31,6,10,17,34,41,50,22,27,21,34,26,40,33,38,53,63,41,26,31,39,25,33,19,40,32,37,29,18,28,34,28,43,39,20,21,48,23,65,28
型男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,1,1,1,1,0,0,1,2,3,1,4,8,1,5,2,0,0,1,4,9,16,12,8,19,15,18,9,14,5,11,9,28,36,67,35,44,29,50,51,56,41,51,27,67,48,59,46,50,36,48,45,45,45,56,40,28,28,50,31,50,43,30,28,39,26,53,57
夥計,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,7,0,0,4,0,0,2,1,2,3,1,3,1,1,1,3,1,1,5,0,2,1,0,1,0,1,0,1,1,5,2,2,3,5,3,1,4,3,1,0,5,3,2
大哥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,7,2,0,1,1,1,1,1,7,5,1,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,3,0,2,0,1,1,0,1,0,3,0,5,2,2,1,0,2,0,5,0,0,0,1,7,4,0,0,12,23,5,8,24,18,12,28,10,6,11,19,42,28,13,13,32,19,17,16,24,24,18,12,146,127,109,125,117,40,151,129,83,57,101,118,244,342,346,228,337,270,443,372,470,284,319,397,452,293,314,318,364,331,304,376,345,336,381,291,233,170,390,198,387,338,227,201,319,338,279,370
大姊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,15,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,13,2,1,11,0,3,12,1,2,3,0,11,4,0,5,3,8,3,14,5,0,16,2,41,26,43,29,21,29,25,18,29,23,21,35,52,65,81,50,57,51,73,58,57,59,102,39,62,52,60,55,75,64,73,84,76,69,61,57,25,16,34,24,42,60,22,13,50,85,41,99
大媽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,7,7,5,5,33,1,9,7,14,12,8,3,51,53,40,79,50,31,39,29,63,20,26,52,87,128,65,74,115,114,54,88,80,90,145,107,76,74,102,70,82,45,57,93,65,91,74,113
